//**Error Message,Error Code,Error defined in .h,Error description in Chinese,Error description in English,Is in CIM
//**Battery & Coin Cell,,,,,
WirelessGSM_Set_PA_Range_Fail,WL2G0014,FunErr_WirelessGSM_Set_PA_Range_Fail,GSM设置手机PA范围失败,WirelessGSM set PA range fail,Y
WirelessGSM_Set_WAVE_Fail,WL2G0015,FunErr_WirelessGSM_Set_WAVE_Fail,GSM设置手机WAVE失败,WirelessGSM set WAVE form fail,Y
WirelessGSM_Set_TX_PDM_Fail,WL2G0016,FunErr_WirelessGSM_Set_TX_PDM_Fail,GSM设置PDM失败,WirelessGSM set TX PDM fail,Y
WirelessGSM_Set_TX_ONOFF_Fail,WL2G0017,FunErr_WirelessGSM_Set_TX_ONOFF_Fail,GSM设置手机Tx ON失败,WirelessGSM set TX ONOFF fail,Y
WirelessGSM_Fetch_Max_Power_Fail,WL2G0018,FunErr_WirelessGSM_Fetch_Max_Power_Fail,GSM从仪器读取发射功率失败,WirelessGSM fetch max power fail,Y
WirelessGSM_Set_RGI_Fail,WL2G0019,FunErr_WirelessGSM_Set_RGI_Fail,GSM设置手机RGI失败,WirelessGSM set RGI from phone fail,Y
WirelessGSM_Get_RGI_Fail,WL2G0020,FunErr_WirelessGSM_Get_RGI_Fail,GSM从手机读取RGI失败,WirelessGSM get RGI from phone fail,Y
WirelessGSM_Online_Sync_Fail,WL2G0021,FunErr_WirelessGSM_Online_Sync_Fail,GSM建Online Call同步失败,WirelessGSM online sync fail,Y
//**WirelessWCDMA,,,,,
WirelessWCDMA_Test_Set_Command,WL3G0001,FunErr_WirelessWCDMA_Test_Set_Command_Fail,WCDMA测试对手机下发指令失败,WCDMA test set command to phone fail,Y
WirelessWCDMA_Test_Init_Device,WL3G0002,FunErr_WirelessWCDMA_Test_Init_Device_Fail,WCDMA测试对CMU下发设置指令失败,WCDMA test set command to CMU fail,Y
WirelessWCDMA_Test_OutPower,WL3G0003,FunErr_WirelessWCDMA_Test_OutPower_OutRange,WCDMA测试TxPower超出范围,WCDMA test Tx power out range,Y
WirelessWCDMA_Online_Call,WL3G0004,FunErr_WirelessWCDMA_Online_Call_Fail,WCDMA测试建Online Call失败,WCDMA test setup online call fail,Y
WirelessWCDMA_Online_BER,WL3G0005,FunErr_WirelessWCDMA_Online_BER_OutRange,WCDMA测试BER超出范围,WCDMA test BER out range,Y
WirelessWCDMA_Online_RSCP,WL3G0006,FunErr_WirelessWCDMA_Online_RSCP_OutRange,WCDMA测试RSCP超出范围,WCDMA test RSCP out range,Y
WirelessWCDMA_Online_EndCall,WL3G0007,FunErr_WirelessWCDMA_Online_EndCall_Fail,WCDMA测试断Call失败,WCDMA test end call fail,Y
WirelessWCDMA_Online_Handover,WL3G0008,FunErr_WirelessWCDMA_Online_Handover_Fail,WCDMA测试online handover失败,WCDMA test handover fail,Y
WirelessWCDMA_Get_PhoneMode_Fail,WL3G0009,FunErr_WirelessWCDMA_Get_PhoneMode_Fail,WCDMA获取手机模式失败,WirelessWCDMA get phone mode fail,Y
WirelessWCDMA_Fetch_Max_Power_Fail,WL3G0010,FunErr_WirelessWCDMA_Fetch_Max_Power_Fail,WCDMA从仪器读取发射功率失败,WirelessWCDMA fetch max power fail,Y
WirelessWCDMA_Set_Band_CH_Fail,WL3G0011,FunErr_WirelessWCDMA_Set_Band_CH_Fail,WCDMA设置手机频段和信道失败,WirelessWCDMA set band and channel fail,Y
WirelessWCDMA_Set_PhoneMode_Fail,WL3G0012,FunErr_WirelessWCDMA_Set_PhoneMode_Fail,WCDMA设置手机模式失败,WirelessWCDMA set phone mode fail,Y
WirelessWCDMA_Set_PhoneBand_Fail,WL3G0013,FunErr_WirelessWCDMA_Set_PhoneBand_Fail,WCDMA设置手机频段失败,WirelessWCDMA_set phone band fail,Y
WirelessWCDMA_Set_PhoneCH_Fail,WL3G0014,FunErr_WirelessWCDMA_Set_PhoneCH_Fail,WCDMA设置手机信道失败,WirelessWCDMA set phone channel fail,Y
WirelessWCDMA_Set_PA_Range_Fail,WL3G0015,FunErr_WirelessWCDMA_Set_PA_Range_Fail,WCDMA设置手机PA范围失败,WirelessWCDMA set PA range fail,Y
WirelessWCDMA_Set_WAVE_Fail,WL3G0016,FunErr_WirelessWCDMA_Set_WAVE_Fail,WCDMA设置手机WAVE失败,WirelessWCDMA set WAVE form fail,Y
WirelessWCDMA_Set_TX_PDM_Fail,WL3G0017,FunErr_WirelessWCDMA_Set_TX_PDM_Fail,WCDMA设置PDM失败,WirelessWCDMA set TX PDM fail,Y
WirelessWCDMA_Get_TX_PDM_Fail,WL3G0018,FunErr_WirelessWCDMA_Get_TX_PDM_Fail,WCDMA读取PDM失败,WirelessWCDMA get TX PDM fail,Y
